number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9575430484395441,2026-04-11 14:11:40.950227,2026-04-11 14:16:49.273493,0 days 00:05:08.323266,0.4936111842654619,0.2904180608409973,0.1205712628744377,10,2,500,0.6245760287469887,0.002570603566117596,0.7993292420985183,COMPLETE
1,0.9389383634983183,2026-04-11 14:16:49.275281,2026-04-11 14:23:11.380389,0 days 00:06:22.105108,0.5274034664069657,0.9170225492671691,0.27081608642499677,3,2,767,5.472429642032189e-06,0.00052821153945323,0.9162213204002109,COMPLETE
2,0.9423641442892446,2026-04-11 14:23:11.381919,2026-04-11 14:28:21.785512,0 days 00:05:10.403593,0.575286789121131,2.28034992108518,0.08012737503998542,5,4,545,0.11656915613247415,6.267062696005991e-07,0.569746930326021,COMPLETE
3,0.9258960076136514,2026-04-11 14:28:21.786923,2026-04-11 14:34:15.034754,0 days 00:05:53.247831,0.502314474212375,4.7444276862666666,0.011711509955524094,7,1,611,4.905556676028766,0.1886149587855396,0.8037724259507192,COMPLETE
4,0.9186488295954396,2026-04-11 14:34:15.036935,2026-04-11 14:38:01.881626,0 days 00:03:46.844691,0.47322294090686734,0.17194260557609198,0.1024932221692416,3,5,443,1.5271567592511939,2.133142332373e-06,0.7200762468698007,COMPLETE
5,0.9430603117641289,2026-04-11 14:38:01.883942,2026-04-11 14:44:20.310592,0 days 00:06:18.426650,0.5109126733153162,3.8756641168055728,0.05864129169696527,5,10,730,2.8542399074977594,1.1309571585271492,0.7733551396716398,COMPLETE
6,0.9477752015676287,2026-04-11 14:44:20.311261,2026-04-11 14:51:24.395808,0 days 00:07:04.084547,0.4271363733463229,1.9433864484474102,0.01351182947645082,10,4,678,2.7678419414850017e-06,0.287499823474079,0.5979914312095727,COMPLETE
7,0.9387041852554017,2026-04-11 14:51:24.397362,2026-04-11 14:55:45.265923,0 days 00:04:20.868561,0.8813181884524238,4.9344346830025865,0.06333268775321839,5,1,485,0.08916674715636552,6.143857495033091e-07,0.5704621124873813,COMPLETE
8,0.9531436228422235,2026-04-11 14:55:45.267416,2026-04-11 14:57:58.253752,0 days 00:02:12.986336,0.8627622080115674,1.7923286427213632,0.11069143219393454,9,1,204,1.1036250149900698e-07,0.5860448217200526,0.8645035840204937,COMPLETE
9,0.9117244775291389,2026-04-11 14:57:58.255335,2026-04-11 15:04:03.610603,0 days 00:06:05.355268,0.5951099932160483,3.1877873567760657,0.012413189635294229,5,8,699,0.9658611176861261,0.0001778010520878397,0.6554911608578311,COMPLETE
